customer_id,customer_name,industry,member_tier,payment_terms_days,credit_limit,member_since,state
CUST001,Acacia Legal Group,Legal,Standard,14,5000,2024-05-30,ACT
CUST002,Brindabella Health Partners,,,30,10000,2025-04-27,ACT
CUST003,Capital Vets Group,Healthcare,Standard,14,5000,2023-06-07,A.C.T.
CUST004,Molonglo Rehabilitation,Healthcare,Standard,14,5000,2022-01-09,ACT
CUST005,Southside Pathology,Healthcare,Standard,14,5000,2021-02-26,ACT
CUST006,Lake George Foundation,Not-for-profit,Standard,14,5000,2021-05-01,ACT
CUST007,Canberra Youth Trust,Not For Profit,Standard,14,5000,2023-11-30,ACT
CUST008,Griffin Community Options,Not-for-profit,Premium,30,10000,2023-09-25,act
CUST009,Telopea Animal Welfare,Not For Profit,Standard,14,5000,2022-08-13,ACT
CUST010,Namadgi Disability Services,Not-for-profit,Standard,14,5000,2025-03-22,ACT
CUST011,Red Hill Apartment Hotel,Hospitality,Associate,14,2000,2024-12-02,ACT
CUST012,Kingston Chicken Co,hospitality ,Premium,30,10000,09-09-2025,ACT
CUST013,Ona Roasters Wholesale,hospitality ,Associate,14,2000,2024-08-21,ACT
CUST014,Bulk Pantry Dickson,Hospitality,Associate,14,2000,2024-03-23,ACT
CUST015,Zephyr Dining Group,Hospitality,Standard,14,5000,2021-05-04,ACT
CUST016,Eastlake Recruitment,Recruitment,Corporate,30,20000,2022-12-04,ACT
CUST017,Pinnacle Talent Partners,Recruitment,Standard,14,5000,22-Jun-23,ACT
CUST018,Workforce Linq,Recruitment,premium,30,10000,2023-08-06,ACT
CUST019,Verity Staffing Solutions,Recruitment,Standard,14,5000,2024-07-04,ACT
CUST020,Civic Architects Studio,Prof Services,Premium,30,10000,2023-07-02,A.C.T.
CUST021,May Russell Design,Prof Services,Premium,30,10000,2024-07-10,ACT
CUST022,Deakin Consulting Group,Professional Services,,14,5000,2022-10-30,ACT 
CUST023,Northbourne Advisory,Professional Services,Standard,14,5000,11-Jul-23,ACT
CUST024,Kambah Construct Industries,Construction,Associate,14,2000,2023-09-12,ACT
CUST025,Tuggeranong Build Co,Construction,Standard,14,5000,2021-03-25,ACT
CUST026,Braddon Renewables,Construction,Premium,30,10000,2023-02-11,Australian Capital Territory
CUST027,EPC Solar Solutions,Construction,Associate,14,2000,2025-09-26,ACT
CUST028,Infront Cloud Systems,,Standard,14,5000,2021-01-04,ACT
CUST029,Geospatial Intel Labs,IT/Technology,Premium,30,10000,2024-09-03,ACT
CUST030,OPC Managed IT,Tech,Standard,14,5000,2023-04-06,A.C.T.
CUST031,Veracity Software,Tech,assoc,14,2000,2021-11-10,ACT
CUST032,Development Intelligence Lab,Technology,std,14,5000,2021-05-21,ACT
CUST033,ACT Renewal Authority,Government,Corp,30,20000,2024-11-14,ACT
CUST034,National Capital Office,Government,Standard,14,5000,2025-03-07,ACT
CUST035,Office for Inclusion,Govt,Standard,14,5000,2021-11-25,ACT
CUST036,Territory Heritage Body,Government,Standard,14,5000,2025-06-22,ACT 
CUST037,Meridian Bank ACT,Finance,Corporate,30,20000,2024-07-27,ACT
CUST038,Southern Cross Securities,Finance,Standard,14,5000,2021-04-28,Australian Capital Territory
CUST039,Capital CPA Association,finance,Standard,14,5000,2025-02-26,ACT
CUST040,Institute of Public Accountants ACT,Finance,Corporate,30,20000,2023-09-04,ACT
CUST041,ANU Residential College,Education,Premium,30,10000,2023-07-28,A.C.T.
CUST042,Summer Science Academy,Education,STANDARD,14,5000,2022-06-16,ACT
CUST043,Wisdom Learning Centre,Education,Standard,14,5000,2024-02-16,act
CUST044,Chinese Early Learning Centre,edu,,30,10000,2022-09-06,ACT
CUST045,Belconnen Bookkeeping,Professional Services,assoc,14,2000,2024-09-16,ACT
CUST046,Civic Comms Link,Prof Services,Standard,14,5000,2025-09-20,ACT 
CUST047,Network Business Group,,Associate,14,2000,2021-06-17,ACT
CUST048,Selmes Advisory,Prof Services,,14,2000,2025-08-03,act
CUST049,DS Strategy Consulting,Professional Services,assoc,14,2000,2022-04-12,ACT
CUST050,CAPDA Consulting,Professional Services,Standard,14,5000,2023-03-15,A.C.T.
CUST051,Elring Legal Partners,Legal,std,14,5000,2023-07-31,ACT
CUST052,Blumers Law Co,Legal,Standard,14,5000,2025-10-24,ACT
CUST053,MV Legal Services,Legal,Associate,14,2000,2023-06-24,ACT
CUST054,Enterprise Plus Group,Professional Services,Standard,14,5000,2022-05-17,ACT
CUST055,Hands Across Region,Not For Profit,Standard,14,5000,2021-09-17,ACT
CUST056,Jigsaw Employment,Not-for-profit,Standard,14,5000,2024-03-25,ACT
CUST057,Nexus Human Services,Not-for-profit,Standard,14,5000,2021-10-10,Australian Capital Territory
CUST058,Staff Verify Co,,std,14,5000,2023-01-11,ACT
CUST059,Stantec Regional,Professional Services,,14,5000,2022-08-07,ACT
CUST060,CBRE Capital,Professional Services,,30,20000,2025-02-14,ACT
CUST061,Complex Holdings Co,Professional Services,Premium,30,10000,08-Aug-22,ACT
CUST062,TP Dynamics Group,IT/Technology,Corp,30,20000,2022-11-04,ACT
CUST063,Optus Business ACT,Tech,Corporate,30,20000,2023-03-03,ACT
CUST064,Westpac Regional,finance,Corporate,30,20000,2021-05-27,Australian Capital Territory
CUST065,Workday Cloud ANZ,IT/Technology,Corporate,30 days,20000,2023-03-26,ACT
CUST066,YourGP Medical,Healthcare,Standard,14 days,5000,2023-01-08,ACT
CUST067,Zest Wellbeing,Healthcare,Standard,14,5000,2023-12-27,ACT
CUST068,Punthill Tuggeranong,,Associate,14,"$2,000",2023-02-27,ACT
CUST069,The Social Nest Co,Hospitality,Associate,14,2000,2022-10-30,ACT
CUST070,Design Construct Co,Construction,assoc,14,2000,2025-11-18,ACT
CUST071,Holt IT Services ACT,Technology,premium,30,10000,2021-12-29,ACT
CUST072,Belconnen Civil Pty Ltd,construction ,assoc,14,2000,2024-09-11,A.C.T.
CUST073,Calwell Chambers,Legal,Premium,30,10000,2025-03-18,ACT
CUST074,Calwell Build Co ACT,construction ,Standard,14,5000,2022-10-24,ACT
CUST075,Turner Group Group,Professional Services,Standard,14,5000,2024-05-19,ACT
CUST076,Molonglo Tech ACT,IT/Technology,Premium,30,10000,2023-12-05,ACT
CUST077,Latham Partners,Prof Services,Associate,14,2000,2022-04-02,ACT 
CUST078,Tuggeranong Medical Pty Ltd,Healthcare,Premium,30,10000,2024-04-22,A.C.T.
CUST079,Barton Health,Healthcare,,30,"$10,000",2025-01-08,ACT
CUST080,Barton Support Services,,Standard,14,"$5,000",2024-05-08,A.C.T.
CUST081,Barton Builders,Construction,Standard,14,5000,2022-04-29,act
CUST082,Fyshwick Staffing ACT,Recruitment,Corporate,30,20000,2021-07-05,A.C.T.
CUST083,Kambah Dental Co,,assoc,14,2000,2021-12-30,ACT
CUST084,Reid Hotel,Hospitality,std,14,5000,2021-10-18,ACT
CUST085,Hawker Catering,Hospitality,std,14,5000,2024-11-09,ACT
CUST086,Charnwood Advocates Co,Legal,assoc,14,2000,2023-07-08,ACT
CUST087,Dickson Wellness ACT,HEALTHCARE,Standard,14,5000,2022-10-01,ACT
CUST088,Lyneham Strategy Group,,Associate,14,2000,2025-02-09,ACT
CUST089,Kingston Allied Health,Healthcare,Standard,14,5000,2025-02-25,Australian Capital Territory
CUST090,Kingston Advisory Group,Finance,Standard,14,5000,2025-05-25,ACT
CUST091,Monash Talent,Recruitment,Standard,14,5000,2021-04-08,ACT
CUST092,Dickson Medical,,Associate,14,2000,2025-10-04,ACT
CUST093,Woden Securities Pty Ltd,finance,Corporate,30,20000,2023-11-27,act
CUST094,Woden Care Pty Ltd,Healthcare,Standard,14,"$5,000",2023-11-01,ACT
CUST095,Conder Chambers ACT,Legal,STANDARD,14,5000,03-19-2023,ACT
CUST096,Yarralumla Outreach Group,Not-for-profit,assoc,14,2000,2023-04-26,ACT
CUST097,Kingston Academy,Education,Standard,14,5000,2024-10-12,ACT
CUST098,Yarralumla Construct Co,Construction,Premium,30,10000,2025-08-03,ACT
CUST099,Belconnen Counsel,LEGAL,Standard,14,5000,2024-11-24,ACT
CUST100,Monash Accounting Group,Finance,Standard,14,5000,2023-11-27,ACT
CUST101,Greenway Bookkeeping Pty Ltd,Finance,assoc,14 days,2000,2023-12-03,ACT
CUST102,Fyshwick Trust,Not For Profit,Standard,14,5000,2025-07-25,A.C.T.
CUST103,Banks Group Pty Ltd,Professional Services,Standard,14,5000,2021-03-11,ACT
CUST104,Mitchell Solutions,Professional Services,Standard,14,5000,2021-11-19,ACT
CUST105,Latham Care Network ACT,Not-for-profit,Premium,30 days,10000,2022-03-01,ACT
CUST106,Phillip Renewables,Construction,Standard,14,5000,2022-07-24,ACT
CUST107,Florey Talent,Recruitment,Associate,14,2000,2023-07-19,ACT
CUST108,Barton Cyber,IT/Technology,Standard,14,5000,2021-05-22,ACT
CUST109,Wanniassa Care Network,Not-for-profit,premium,30,10000,2023-09-12,ACT
CUST110,Mitchell Education,Education,Associate,14,2000,01-24-2022,ACT
CUST111,Dickson Support Services,Not-for-profit,STANDARD,14,5000,2023-08-07,ACT
CUST112,Manuka Data Labs,Technology,Premium,30,10000,2024-09-24,ACT
CUST113,Narrabundah Academy,edu,Corporate,30,20000,2023-04-12,ACT
CUST114,Narrabundah Advisory,,,14 days,5000,2025-10-30,ACT 
CUST115,Greenway Roasters,Hospitality,assoc,14,2000,2021-04-22,ACT
CUST116,Manuka Advisory Co,Finance,Standard,14,5000,2024-02-10,ACT
CUST117,Barton Wellness ACT,HEALTHCARE,Associate,14,2000,2022-12-15,ACT
CUST118,Reid Developments Group,Construction,Associate,14,2000,2021-10-24,ACT
CUST119,Fyshwick Staffing,Recruitment,assoc,14,2000,2025-05-10,ACT
CUST120,Bruce Developments,construction ,Associate,14,2000,2023-03-20,ACT
CUST121,Hawker Partners Group,,Premium,30,10000,2021-08-15,Australian Capital Territory
CUST122,Monash Law,Legal,Standard,14,5000,2024-03-24,Australian Capital Territory
CUST123,Manuka Hotel ACT,,Standard,14,5000,2023-07-07,A.C.T.
CUST124,Kambah Agency Pty Ltd,Government,Associate,14,2000,2022-10-29,Australian Capital Territory
CUST125,Phillip Bistro,Hospitality,Standard,14,5000,2022-11-03,ACT
CUST126,Yarralumla Hotel Group,Hospitality,Corporate,30,20000,2023-06-21,ACT 
CUST127,Isabella Community Pty Ltd,Not-for-profit,Premium,30,10000,2024-07-30,ACT
CUST128,Gungahlin School,Education,Standard,14,5000,06-Dec-22,ACT
CUST129,Ainslie Directorate,Government,std,14,5000,2024-10-31,ACT
CUST130,Mitchell Medical Group,health care,Standard,14,5000,2021-11-25,ACT
CUST131,Fyshwick Capital,Finance,Standard,14,5000,2022-11-21,ACT
CUST132,Calwell Talent Co,Recruitment,Standard,14,5000,12-May-23,ACT
CUST133,Weston Allied Health,Healthcare,STANDARD,14,5000,2021-10-11,ACT
CUST134,Acton Solicitors ACT,legal,,30,10000,2021-11-10,ACT 
CUST135,Latham People Co Co,Recruitment,Standard,14,5000,2021-01-27,ACT
CUST136,Lyneham Developments Pty Ltd,construction ,Premium,30,10000,2023-07-23,ACT
CUST137,Weston Solicitors,Legal,Standard,14,5000,2024-05-31,ACT
CUST138,Bruce Capital Co,,assoc,14,2000,2021-05-25,ACT
CUST139,Turner Institute Pty Ltd,Education,Premium,30,10000,2024-10-24,ACT
CUST140,Braddon Support Services ACT,Not-for-profit,Premium,30,10000,2021-01-10,ACT
CUST141,Hawker Solutions,Professional Services,Standard,14,5000,2021-12-19,ACT
CUST142,Gungahlin Community,,Premium,30,10000,2024/07/13,ACT
CUST143,Tuggeranong Consulting ACT,Professional Services,Associate,14 days,2000,2025-05-18,ACT
CUST144,Capital Bookkeeping,Finance,Corporate,30,20000,2023-03-06,ACT
CUST145,Kambah Charity,Not-for-profit,Associate,14,2000,2022-09-27,ACT
CUST146,Isabella Consulting Pty Ltd,Professional Services,Associate,14,2000,2022-08-29,ACT
CUST147,Capital Care Network ACT,Not-for-profit,Associate,14,2000,2024-05-10,ACT
CUST148,Fyshwick Foundation ACT,NFP,Standard,14,"$5,000",2022-07-21,ACT
CUST149,Watson Advocates ACT,Legal,Prem,30,10000,2023/07/08,ACT
CUST150,Banks Bistro Co,Hospitality,Standard,14,5000,2025-11-02,ACT
CUST151,Weston Charity,Not-for-profit,Premium,30,10000,2025/10/29,ACT
CUST152,Civic Trust Co,Not-for-profit,Standard,14,5000,2021-02-16,ACT
CUST153,Isabella Goods Co Pty Ltd,Retail,Premium,30,10000,2025-05-26,ACT
CUST154,Braddon Outreach,Not-for-profit,Standard,14,5000,2023-07-02,ACT
CUST155,Bruce Solutions,Prof Services,std,14,5000,2024-02-11,ACT
CUST156,Fyshwick School Group,Education,Corporate,30,20000,2023-04-07,ACT
CUST157,Capital Construct Co,Construction,,14,2000,12-Sep-23,A.C.T.
CUST158,Lyneham Civil,Construction,Standard,14,5000,2024-02-04,ACT 
CUST159,Wanniassa Associates,Professional Services,Standard,14,5000,2025-07-02,act
CUST160,Civic Law,legal,Premium,30 days,10000,2023-01-23,ACT
CUST161,Kambah Kitchen Co,Hospitality,assoc,14,"$2,000",2023-03-31,ACT
CUST162,Kingston Bookkeeping ACT,Finance,Standard,14,5000,2023-07-30,ACT
CUST163,Reid Construct,Construction,,14,5000,2024-11-01,ACT
CUST164,Isabella Health Group,Healthcare,Standard,14,5000,2025-08-28,ACT
CUST165,Isabella Advocates,,Corporate,30,20000,2021/07/04,ACT
CUST166,Deakin Agency ACT,Government,Standard,14,5000,2022-03-07,ACT
CUST167,Yarralumla Solutions Group,Prof Services,Standard,14,5000,2021-11-26,ACT
CUST168,Greenway Wellness,HEALTHCARE,Standard,14,5000,2025-10-21,ACT
CUST169,Wanniassa Associates Pty Ltd,Professional Services,STANDARD,14,5000,2023-06-20,ACT
CUST170,Calwell Securities Pty Ltd,Finance,Standard,14,5000,2022-11-07,Australian Capital Territory
CUST171,Belconnen Agency ACT,Govt,Standard,14,5000,2023-03-08,ACT
CUST172,Holt Solutions,Professional Services,Standard,14,5000,2021-09-22,Australian Capital Territory
CUST173,Kambah Cloud,Technology,assoc,14 days,2000,2022-11-23,ACT
CUST174,Canberra Catering Co,Hospitality,Associate,14,"$2,000",2025-10-08,ACT 
CUST175,Turner Projects Co,Construction,Premium,30,10000,2025-03-05,ACT
CUST176,Charnwood Solutions Co,Professional Services,STANDARD,14,5000,2021-04-20,ACT
CUST177,Civic Allied Health,Healthcare,Associate,14,2000,2021-02-11,ACT
CUST178,Molonglo Financial ACT,Finance,Standard,14,5000,2021-06-20,ACT
CUST179,Ainslie Strategy,,Standard,14,5000,2024-10-14,ACT
CUST180,Barton Community,Not-for-profit,Premium,30,10000,2022-05-14,ACT
CUST181,Turner Dental,Healthcare,Standard,14,5000,2023-04-16,ACT
CUST182,Dickson Goods Co Pty Ltd,Retail,,30 days,20000,2021-01-24,ACT
CUST183,Yarralumla Workforce ACT,Recruitment,Premium,30,10000,2024-02-02,A.C.T.
CUST184,Watson Hospitality,hospitality ,Standard,14,5000,12-21-2022,ACT
CUST185,Dickson Bureau ACT,Govt,Standard,14,5000,2023-01-20,ACT
CUST186,Manuka Projects Co,construction ,Premium,30,10000,2024-03-01,ACT
CUST187,Molonglo Data Labs Co,Technology,Premium,30,10000,2021-02-24,ACT
CUST188,Barton Solicitors ACT,,Standard,14,5000,2025-02-14,ACT
CUST189,Gungahlin Charity ACT,Not-for-profit,assoc,14,2000,2021-04-07,ACT
CUST190,Latham People Co,recruiting,Corporate,30,20000,2023-06-07,ACT
CUST191,Conder Hospitality Co,Hospitality,Standard,14,5000,2024-12-05,ACT
CUST192,Phillip Partners ACT,Professional Services,Corporate,30 days,20000,2023/06/27,ACT
CUST193,Banks Cloud Group,Technology,Associate,14,2000,20-Apr-23,ACT
CUST194,Barton Search Partners Co,recruiting,Standard,14,5000,2023-03-18,ACT
CUST195,Capital Academy,Education,,30,20000,2022-07-19,ACT
CUST196,Wanniassa Construct Co,Construction,Standard,14,5000,2021-12-19,ACT
CUST197,Phillip Office Pty Ltd,Government,Corp,30,20000,2021-11-10,ACT
CUST198,Yarralumla Bookkeeping Group,finance,Premium,30,10000,2023-08-28,ACT
CUST199,Bruce Wealth,finance,Associate,14,2000,2024-03-17,act
CUST200,Kingston Academy ACT,Education,Standard,14,5000,2025-06-18,ACT
CUST201,Kambah Care,HEALTHCARE,Premium,30,10000,2024-03-24,ACT
CUST202,Woden Data Labs ACT,Technology,Standard,14,5000,2021-08-04,ACT
CUST203,Narrabundah Dental Pty Ltd,Healthcare,Premium,30,10000,2024-01-04,ACT
CUST204,Banks Outreach Co,Not-for-profit,Premium,30,10000,2021-04-04,ACT
CUST205,Ainslie Agency,Government,Corporate,30,20000,2024-04-25,ACT
CUST206,Weston Advocates Group,Legal,Premium,30,10000,2021/02/17,ACT
CUST207,Molonglo School Pty Ltd,Education,Standard,14,5000,2024-09-06,ACT
CUST208,Canberra Consulting ACT,Professional Services,assoc,14,2000,2024-01-15,ACT
CUST209,Yarralumla Construct Pty Ltd,,Premium,30,10000,2022-05-03,ACT
CUST210,Latham College Group,edu,Standard,14,5000,2025-03-20,ACT
CUST211,Banks Recruitment Pty Ltd,Recruitment,Standard,14,5000,2021-09-13,ACT
CUST212,Hawker Institute ACT,Education,Associate,14,2000,2023-04-29,Australian Capital Territory
CUST213,Wanniassa Talent,Recruitment,Premium,30,10000,2023-09-13,ACT
CUST214,Ainslie Bookkeeping,Finance,std,14,5000,2022-10-19,ACT
CUST215,Civic Consulting ACT,Professional Services,Standard,14,5000,19-Nov-22,ACT
CUST216,Monash Hotel Co,Hospitality,Associate,14,"$2,000",2023-10-16,ACT
CUST217,Phillip Consulting Pty Ltd,Prof Services,Premium,30,10000,2025-05-06,ACT 
CUST218,Lyneham Wealth,Finance,Associate,14,2000,2024-09-28,ACT
CUST219,Calwell Advisory Co,Finance,Standard,14,5000,2022-09-05,ACT
CUST220,Civic Solicitors,Legal,Associate,14,2000,2023-01-22,act
CUST221,Braddon Solutions,,Premium,30,10000,2025/11/09,ACT
CUST222,Reid Group Pty Ltd,Professional Services,Standard,14,5000,2024-02-26,A.C.T.
CUST223,Capital Projects,construction ,Associate,14,2000,2025-07-02,ACT
CUST224,Lyneham Charity,Not For Profit,Standard,14,5000,2024-11-13,ACT
